,pmi,trade,ip,oil,fin,ai,copper,usd,factor_static,factor_smoothed
2012-11-01,49.17210000000001,-0.6434046272884131,-2.142133392552048,-1.2277549847306668,-2.095019406603967,-0.5620168677299405,1.783886892267872,-3.586799565421339,-0.3091238399422993,-0.24714845899773585
2012-12-01,49.42640000000001,-3.8411035736283794,1.1890706757033964,1.4666540172241227,-2.17092007467625,-0.4112466474695764,5.581282550147648,-0.1847371393049579,-0.14065694056715103,-0.15645066416516543
2013-01-01,49.70727499999999,5.649181401712444,0.8179984750926517,0.7204916919620885,-1.694042459777201,-0.5419226712374231,-0.0345920494539964,0.4916873652251796,0.009579336295770138,-0.09390999085545505
2013-02-01,49.979425000000006,2.621133563395195,0.6204199476330885,-2.460177158010524,-1.7652140074355722,-0.5519027298876259,-4.664217486387113,-2.12052689698643,-0.1348569987038934,-0.13329722045851872
2013-03-01,50.199,4.421351494151482,2.451815236891708,-12.063169813444574,-1.6346186658163944,-0.5814024557539211,-9.71492337001264,-3.883335704661284,-0.16482831479667587,-0.14809871530510468
2013-04-01,50.367500000000014,0.2957122694081215,3.593863709944767,-14.04280248275972,-1.751998210542361,-0.3480530125365141,-11.884172531880266,-3.933804969008259,-0.17887507005081865,-0.12072985869825412
2013-05-01,50.503,2.6968851040859887,4.050297040582152,-6.535832033274813,-1.692587174437771,0.2603494287398273,-7.599222674230955,-2.827517382749334,0.10274434559972061,0.00383374295886949
2013-06-01,50.614750000000015,-2.8082659715534475,0.7007977970951984,7.5218425224846674,-2.1664671099492883,0.0847536161761896,-5.022865810231192,0.449982093372081,0.011232979243508284,0.0142580267985975
2013-07-01,50.7095,-0.4299186188501336,0.4519456050293913,4.498761301942333,-1.7529104983605566,0.1772570505619941,-8.629594396471173,0.3347546142944413,0.08359307195376206,0.0497843419070442
2013-08-01,50.8005,3.053615564072309,1.743665084666235,-1.9226033379517005,-1.7824449281227066,-0.1016044851965769,-3.984864857456294,0.8254413053363052,0.11037656925290434,0.09086509366987382
2013-09-01,50.87675000000001,5.963983366327419,3.799899958764952,-1.1496764197840623,-1.842905083527592,0.2963835545315315,-11.976979403745236,-1.68552438071925,0.16854680718404175,0.13672338703724896
